class,precision,recall,f1-score,support
A,1.0,0.9091,0.9524,11
C,0.9286,0.9286,0.9286,14
D,0.8462,0.8462,0.8462,13
G,1.0,1.0,1.0,10
I,0.9167,1.0,0.9565,11
J,0.75,0.8182,0.7826,11
K,0.9091,0.9091,0.9091,11
L,0.9,0.9,0.9,10
M,0.9091,0.9091,0.9091,11
N,0.8182,0.9,0.8571,10
O,0.9167,0.9167,0.9167,12
P,1.0,1.0,1.0,13
S,0.9167,1.0,0.9565,11
U,0.9,0.9,0.9,10
V,0.8889,0.8,0.8421,10
W,0.9231,0.9231,0.9231,13
Z,1.0,0.8,0.8889,10
accuracy,,,0.911,191
macro avg,0.9131,0.9094,0.9099,191
weighted avg,0.9135,0.911,0.911,191
