true_label,pred_A,pred_C,pred_D,pred_G,pred_I,pred_J,pred_K,pred_L,pred_M,pred_N,pred_O,pred_P,pred_S,pred_U,pred_V,pred_W,pred_Z
A,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
D,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0
M,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0
N,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0
O,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
U,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0
V,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0
Z,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8
